"","Symbol","Trade Time","Name","Ask","Market Capitalization","Earnings/Share","P/E Ratio","Price/Book","Shares Outstanding","Currency","date","cash","shortTermInvestments","netReceivables","inventory","otherCurrentAssets","totalCurrentAssets","longTermInvestments","propertyPlantEquipment","otherAssets","totalAssets","accountsPayable","shortLongTermDebt","otherCurrentLiab","longTermDebt","otherLiab","totalCurrentLiabilities","totalLiab","commonStock","retainedEarnings","treasuryStock","otherStockholderEquity","totalStockholderEquity","netTangibleAssets","goodWill","intangibleAssets","deferredLongTermAssetCharges","capitalSurplus","deferredLongTermLiab","minorityInterest","(ticker)","Beta"
"11","XOM",2023-05-08 16:03:01,"Exxon Mobil Corporation",109.18,441131728896,14.77,7.3872714,2.2202551,4043000064,"USD","2022-12-31",29640000000,NA,41749000000,24435000000,1807000000,97631000000,34800000000,211143000000,25493000000,369067000000,33169000000,112000000,29741000000,39170000000,52797000000,69045000000,166594000000,15752000000,432860000000,-253563000000,-13270000000,195049000000,195049000000,NA,NA,3825000000,NA,NA,7424000000,"XOM","0.931788307484819"
"12","JNJ",2023-05-08 16:00:01,"Johnson & Johnson",162.88,421799854080,4.77,34.027252,5.950871,2598729984,"USD","2023-01-01",14127000000,9392000000,16160000000,12483000000,NA,55294000000,1274000000,20903000000,16351000000,187378000000,11703000000,1551000000,2127000000,26888000000,26584000000,55802000000,110574000000,3120000000,128345000000,-54661000000,-12967000000,76804000000,-16752000000,45231000000,48325000000,9123000000,NA,NA,NA,"JNJ","0.552766565869149"
"13","JPM",2023-05-08 16:00:02,"JP Morgan Chase & Co.",137.06,400558292992,13.56,10.108407,1.4529979,2922289920,"USD","2022-12-31",540525000000,315501000000,NA,157000000,292044000000,1602026000000,644385000000,40036000000,1318437000000,3665743000000,2417363000000,32163000000,126835000000,276312000000,7782000000,3082706000000,3373411000000,4105000000,296456000000,-124677000000,-17341000000,264928000000,212042000000,51662000000,9197000000,NA,89044000000,NA,NA,"JPM","1.41273985426385"
"14","V",2023-05-08 16:00:02,"Visa Inc.",232.31,486382501888,7.49,31.00534,12.983898,1618220032,"USD","2022-09-30",15689000000,2833000000,4142000000,NA,6057000000,30205000000,2136000000,2112000000,6605000000,85501000000,340000000,2250000000,13987000000,20522000000,8123000000,20853000000,49920000000,19545000000,16116000000,-2404000000,-2404000000,33257000000,-11186000000,17787000000,26656000000,87000000,NA,NA,NA,"V","1.00718758334743"
"15","PG",2023-05-08 16:03:03,"Procter & Gamble Company (The)",155.39,366037434368,5.76,26.961805,8.25932,2356969984,"USD","2022-06-30",7214000000,NA,5143000000,6924000000,NA,21653000000,140000000,21955000000,10081000000,117208000000,14882000000,3647000000,3674000000,22848000000,13830000000,33081000000,70354000000,4009000000,112429000000,-136487000000,-13105000000,45746000000,-17633000000,39700000000,23679000000,NA,65795000000,NA,265000000,"PG","0.568533227539253"
"16","LLY",2023-05-08 16:03:15,"Eli Lilly and Company",432.5,410769424384,6.29,68.794914,34.773384,949273024,"USD","2022-12-31",2067000000,144800000,8301800000,4309700000,26600000,18034500000,3200900000,10144000000,6830800000,49489800000,1930600000,1539400000,3591300000,15445800000,6130400000,17138200000,38714400000,594100000,10042600000,-6908300000,-6857800000,10649800000,-629800000,4073000000,7206600000,2792900000,6921400000,NA,125600000,"LLY","0.703263909238762"
"17","MA",2023-05-08 16:00:02,"Mastercard Incorporated",385.5,365320470528,10,38.551003,68.57168,940179968,"USD","2022-12-31",7008000000,400000000,3425000000,NA,5773000000,16606000000,1730000000,2006000000,7001000000,38724000000,926000000,274000000,5306000000,13749000000,3797000000,14171000000,32347000000,NA,53607000000,-52607000000,-1253000000,6298000000,-5083000000,7522000000,3859000000,1151000000,5298000000,4578000000,79000000,"MA","1.15190755743944"
"18","MRK",2023-05-08 16:03:07,"Merck & Company, Inc.",118.38,300411748352,5.12,23.121094,6.5323915,2537690112,"USD","2022-12-31",12694000000,498000000,10621000000,5911000000,5998000000,35722000000,1847000000,22768000000,7350000000,109160000000,5037000000,2300000000,4344000000,28745000000,9105000000,24239000000,63102000000,1788000000,61081000000,-61257000000,-4768000000,45991000000,4518000000,21204000000,20269000000,503000000,44379000000,NA,67000000,"MRK","0.695566277846767"
"19","HD",2023-05-08 16:00:02,"Home Depot, Inc. (The)",289.7,291578085376,16.68,17.26199,187.33247,1012670016,"USD","2023-01-29",2757000000,NA,3317000000,24886000000,1511000000,32471000000,NA,32572000000,635000000,76445000000,11443000000,1000000000,3114000000,38908000000,3585000000,23110000000,74883000000,90000000,76896000000,-88016000000,-718000000,1562000000,-9205000000,7444000000,3323000000,319000000,12592000000,NA,NA,"HD","0.973909201803699"
"20","CVX",2023-05-08 16:02:41,"Chevron Corporation",159.65,302346665984,18.52,8.616631,1.91879,1894640000,"USD","2022-12-31",17678000000,223000000,20281000000,8247000000,805000000,50343000000,45238000000,147853000000,9553000000,257709000000,18955000000,1591000000,4381000000,20972000000,38964000000,34208000000,97467000000,1832000000,190024000000,-51234000000,-3038000000,159282000000,154560000000,4722000000,NA,4505000000,18660000000,NA,960000000,"CVX","1.04628742019878"
"21","PEP",2023-05-08 16:00:04,"Pepsico, Inc.",0,266376364032,4.76,40.619747,15.634351,1377689984,"USD","2022-12-31",4954000000,394000000,10163000000,5222000000,40000000,21539000000,3886000000,26664000000,6310000000,92187000000,10732000000,3096000000,6000000000,35657000000,10539000000,26785000000,74914000000,23000000,67800000000,-54808000000,-15302000000,17149000000,-16639000000,18202000000,15586000000,4204000000,4134000000,123000000,124000000,"PEP","0.579931339629252"
"22","AVGO",2023-05-08 16:00:04,"Broadcom Inc.",0,262270205952,29.68,21.194744,11.253511,416924000,"USD","2022-10-30",12416000000,NA,2958000000,1925000000,341000000,18504000000,NA,2740000000,1280000000,73249000000,998000000,403000000,3945000000,39053000000,4024000000,7052000000,50540000000,NA,1604000000,-54000000,-54000000,22709000000,-28016000000,43614000000,7111000000,NA,21159000000,NA,NA,"AVGO","1.27288544618197"
"23","ABBV",2023-05-08 16:03:08,"AbbVie Inc.",148,260122443776,4.25,34.69412,15.118424,1764140032,"USD","2022-12-31",9201000000,28000000,11254000000,3579000000,88000000,28463000000,241000000,5672000000,4834000000,138805000000,9575000000,4135000000,3144000000,59493000000,31716000000,29538000000,121518000000,18000000,4784000000,-6793000000,-2199000000,17254000000,-82341000000,32156000000,67439000000,NA,19245000000,NA,33000000,"ABBV","0.761487333401199"
"24","KO",2023-05-08 16:00:01,"Coca-Cola Company (The)",63.91,276427145216,2.27,28.15859,10.962099,4324579840,"USD","2022-12-31",9519000000,2112000000,3487000000,4233000000,1114000000,22591000000,20290000000,11247000000,5004000000,92763000000,5307000000,399000000,3141000000,38053000000,8047000000,19724000000,66937000000,1760000000,71019000000,-67496000000,-14895000000,24105000000,-9526000000,18782000000,14849000000,1746000000,18822000000,NA,1721000000,"KO","0.585498552599114"
"25","COST",2023-05-08 16:00:04,"Costco Wholesale Corporation",0,221324623872,13.62,36.641705,9.711228,443483008,"USD","2022-08-28",10203000000,846000000,2241000000,17907000000,1499000000,32696000000,NA,29040000000,1437000000,64166000000,17848000000,73000000,7301000000,6484000000,1172000000,31998000000,43519000000,2000000,15585000000,-1829000000,-1829000000,20642000000,19649000000,993000000,NA,445000000,6884000000,NA,5000000,"COST","0.701694694755255"
"26","MCD",2023-05-08 16:00:02,"McDonald's Corporation",296.97,216611602432,9.31,31.867884,-36.111248,730032000,"USD","2022-12-31",2583800000,NA,2142300000,52000000,253800000,5424200000,1064500000,36339300000,3842900000,50435600000,980200000,NA,294400000,35995000000,4507500000,3802100000,56439000000,16600000,59543900000,-74111000000,-2486600000,-6003400000,-9768100000,2900400000,864300000,2477000000,8547100000,NA,NA,"MCD","0.624902030274286"
"27","PFE",2023-05-08 16:03:03,"Pfizer, Inc.",38.68,218268942336,5.07,7.6272182,2.2701654,5644400128,"USD","2022-12-31",416000000,22316000000,14529000000,8981000000,5017000000,51259000000,15069000000,19276000000,16856000000,197205000000,6809000000,2570000000,23438000000,33205000000,23348000000,42138000000,101288000000,476000000,125656000000,-122273000000,-8304000000,95661000000,916000000,51375000000,43370000000,4800000000,91802000000,NA,256000000,"PFE","0.709073907286677"
"28","TMO",2023-05-08 16:00:01,"Thermo Fisher Scientific Inc",543.64,209272012800,15.35,35.347233,4.950051,385697984,"USD","2022-12-31",8524000000,NA,9427000000,5634000000,1644000000,25229000000,154000000,10873000000,2224000000,97154000000,3381000000,5258000000,2658000000,28795000000,5689000000,17010000000,53006000000,441000000,41910000000,-15116000000,-3099000000,43978000000,-14696000000,41196000000,17478000000,NA,16743000000,NA,170000000,"TMO","0.898179475232126"
"29","WMT",2023-05-08 16:00:01,"Walmart Inc.",152.82,411939274752,4.26,35.849762,5.3633013,2697349888,"USD","2023-01-31",8625000000,NA,7933000000,56576000000,NA,75655000000,11169000000,119234000000,4665000000,243197000000,53742000000,4191000000,6164000000,36761000000,12576000000,92198000000,159206000000,269000000,83135000000,-11680000000,-11680000000,76693000000,44219000000,28174000000,4300000000,1503000000,4969000000,NA,7298000000,"WMT","0.518213724865865"
"30","CRM",2023-05-08 16:00:02,"Salesforce, Inc.",197.99,193748647936,0.22,899.5454,3.3266654,979022976,"USD","2023-01-31",7016000000,5492000000,10755000000,NA,1776000000,26395000000,4672000000,6592000000,5497000000,98849000000,3279000000,1182000000,17983000000,9419000000,1749000000,25891000000,40490000000,1000000,7585000000,-4274000000,-274000000,58359000000,2666000000,48568000000,7125000000,2800000000,55047000000,2697000000,NA,"CRM","1.25317873455876"
"31","ABT",2023-05-08 16:03:25,"Abbott Laboratories",111.45,192738656256,3.29,33.708206,5.2531857,1737949952,"USD","2022-12-31",9882000000,288000000,6218000000,6173000000,412000000,25224000000,468000000,10278000000,5215000000,74438000000,4607000000,2251000000,1360000000,14522000000,6579000000,15489000000,37533000000,24709000000,35257000000,-23280000000,-8051000000,36686000000,3433000000,22799000000,10454000000,NA,NA,NA,219000000,"ABT","0.678624402001678"
"32","BAC",2023-05-08 16:00:01,"Bank of America Corporation",27.66,220665774080,3.33,8.315315,0.87670976,7969149952,"USD","2022-12-31",222603000000,273965000000,63743000000,170000000,133776000000,923502000000,878708000000,21265000000,1158878000000,3051375000000,1930341000000,16291000000,80399000000,259691000000,5617000000,2504509000000,2778178000000,58953000000,207003000000,-21156000000,-21156000000,244800000000,175778000000,69022000000,NA,13345000000,NA,NA,NA,"BAC","1.69616397837143"
"33","CSCO",2023-05-08 16:00:04,"Cisco Systems, Inc.",0,189800300544,2.73,16.97436,4.575434,4095820032,"USD","2022-07-30",7079000000,12188000000,10527000000,2568000000,4355000000,36717000000,1500000000,3000000000,11912000000,94002000000,2594000000,499000000,18309000000,8416000000,19449000000,25640000000,54229000000,42714000000,-1319000000,-1622000000,-1622000000,39773000000,-1100000000,38304000000,2569000000,4449000000,NA,NA,NA,"CSCO","1.02240319146827"
"34","DIS",2023-05-08 16:03:04,"Walt Disney Company (The)",102.94,188106620928,1.81,56.889503,1.9555228,1826809984,"USD","2022-10-01",11615000000,NA,12652000000,3632000000,1199000000,29098000000,3218000000,37865000000,40716000000,203631000000,15554000000,1408000000,6351000000,45299000000,17642000000,29073000000,95253000000,56398000000,43636000000,-5026000000,-4119000000,95008000000,2274000000,77897000000,14837000000,NA,NA,NA,13370000000,"DIS","1.044808143037"
"35","LIN",2023-05-08 16:03:39,"Linde plc",373,179030933504,8.98,40.720493,4.485098,489596992,"USD","2022-12-31",5436000000,NA,4908000000,1978000000,292000000,13047000000,2534000000,24420000000,1420000000,79658000000,2995000000,1599000000,4951000000,12198000000,8940000000,16479000000,38271000000,1000000,20541000000,-20519000000,-5782000000,40028000000,1791000000,25817000000,12420000000,230000000,40005000000,66000000,1359000000,"LIN","0.978276095677302"
"36","CMCSA",2023-05-08 16:00:03,"Comcast Corporation",0,169212805120,1.34,30.291044,2.058212,4159379968,"USD","2022-12-31",4749000000,NA,12672000000,NA,4405000000,21826000000,7250000000,61482000000,19550000000,257275000000,12544000000,1743000000,4150000000,96440000000,43003000000,27887000000,175237000000,51000000,51609000000,-10129000000,-2612000000,80943000000,-66224000000,58494000000,88673000000,NA,39412000000,1081000000,1095000000,"CMCSA","1.00165328088109"
"37","ACN",2023-05-08 16:00:01,"Accenture plc",266.15,167376830464,10.87,24.362467,7.0350394,631532032,"USD","2022-08-31",7889833000,3973000,11776775000,NA,1940290000,21610871000,317972000,4677675000,7523579000,47263390000,2559485000,9175000,5269467000,45893000,4383823000,17523496000,24516302000,72000,18203842000,-6776997000,-98960000,22106097000,8972804000,13133293000,NA,4001200000,10679180000,807940000,640991000,"ACN","0.923853710943537"
"38","ADBE",2023-05-08 16:00:04,"Adobe Inc.",0,157820321792,10.24,33.59961,11.116639,458700000,"USD","2022-12-02",4236000000,1860000000,2065000000,NA,274000000,8996000000,NA,2315000000,1618000000,27165000000,379000000,500000000,5493000000,3629000000,940000000,8128000000,13114000000,NA,28319000000,-24136000000,-293000000,14051000000,-185000000,12787000000,1449000000,777000000,9868000000,406000000,NA,"ADBE","1.18409431545193"
"39","DHR",2023-05-08 16:03:32,"Danaher Corporation",241.59,176534962176,9.29,25.752422,3.5023718,737899008,"USD","2022-12-31",5995000000,NA,5970000000,3110000000,6000000,15883000000,11000000,4957000000,3447000000,84350000000,2296000000,591000000,3671000000,19086000000,5922000000,8389000000,34260000000,9000000,39205000000,-2872000000,-2872000000,48414000000,-11638000000,39752000000,20300000000,1426000000,12072000000,NA,8000000,"DHR","0.890519183937795"
"40","VZ",2023-05-08 16:00:01,"Verizon Communications Inc.",37.91,159036948480,5.14,7.359923,1.7122296,4203990016,"USD","2022-12-31",2605000000,37000000,25162000000,2388000000,6306000000,37857000000,1450000000,133564000000,16881000000,379680000000,8750000000,10192000000,13179000000,143441000000,70880000000,50171000000,287217000000,429000000,82380000000,-5085000000,-1072000000,91144000000,-98784000000,28671000000,161257000000,NA,13420000000,2475000000,1319000000,"VZ","0.611434986796886"
"41","NKE",2023-05-08 16:00:01,"Nike, Inc.",126.75,195013279744,3.47,36.564842,13.446376,1245670016,"USD","2022-05-31",8574000000,4423000000,4667000000,8420000000,868000000,28213000000,NA,7717000000,3821000000,40321000000,3358000000,500000000,1700000000,8920000000,2613000000,10730000000,25040000000,3000000,3476000000,318000000,318000000,15281000000,14711000000,284000000,286000000,2295000000,11484000000,NA,NA,"NKE","0.961425714712264"
"42","TXN",2023-05-08 16:00:04,"Texas Instruments Incorporated",0,149054947328,8.9,18.451687,9.78257,907654016,"USD","2022-12-31",3050000000,6017000000,1895000000,2757000000,NA,14021000000,NA,7307000000,1365000000,27207000000,851000000,500000000,189000000,8235000000,1066000000,2985000000,12630000000,1741000000,50353000000,-40468000000,-254000000,14577000000,10063000000,4362000000,152000000,473000000,2951000000,NA,NA,"TXN","1.01949248846095"
"43","NEE",2023-05-08 16:00:02,"NextEra Energy, Inc.",76.34,153901318144,3.37,22.569733,3.5877357,2023420032,"USD","2022-12-31",1601000000,NA,5093000000,1934000000,4862000000,13490000000,15098000000,111823000000,12911000000,158935000000,8312000000,6633000000,7954000000,55256000000,27173000000,26695000000,109499000000,20000000,26707000000,-218000000,-218000000,39229000000,33616000000,4854000000,759000000,219000000,12720000000,7019000000,10207000000,"NEE","0.707309909644995"
"44","ORCL",2023-05-08 16:03:08,"Oracle Corporation",96.99,261313642496,3.03,31.943895,-107.90412,2699800064,"USD","2022-05-31",21383000000,519000000,6744000000,314000000,NA,31633000000,NA,13216000000,19197000000,109297000000,1317000000,3749000000,11774000000,72110000000,20544000000,19511000000,115065000000,26808000000,-31336000000,-1692000000,-1692000000,-6220000000,-51471000000,43811000000,1440000000,12782000000,NA,NA,452000000,"ORCL","0.967566294983488"
"45","PM",2023-05-08 16:00:02,"Philip Morris International Inc",96,148328218624,5.59,17.09481,-16.62202,1552199936,"USD","2022-12-31",3207000000,NA,4756000000,9886000000,1770000000,19619000000,4431000000,7304000000,3940000000,61681000000,4076000000,2577000000,3452000000,34855000000,5345000000,27336000000,67992000000,NA,34289000000,-45476000000,-9559000000,-8957000000,-35344000000,19655000000,6732000000,603000000,2230000000,NA,2646000000,"PM","0.660558779862999"
"46","BMY",2023-05-08 16:00:01,"Bristol-Myers Squibb Company",68.48,143719153664,3.43,19.944607,4.51432,2100850048,"USD","2022-12-31",9123000000,130000000,13937000000,2339000000,1744000000,27273000000,2187000000,7475000000,2877000000,96820000000,3040000000,3897000000,4212000000,35159000000,7392000000,21890000000,65702000000,292000000,25503000000,-39899000000,-1281000000,31061000000,-25947000000,21149000000,35859000000,1344000000,45165000000,496000000,57000000,"BMY","0.631825200150532"
"47","AMD",2023-05-08 16:00:04,"Advanced Micro Devices, Inc.",0,153048629248,0.21,452.57144,2.7982569,1610360064,"USD","2022-12-31",4835000000,1020000000,4128000000,3771000000,NA,15019000000,83000000,1973000000,1848000000,67580000000,2956000000,NA,243000000,2467000000,3598000000,6369000000,12830000000,16000000,-131000000,-3140000000,-41000000,54750000000,6093000000,24177000000,24480000000,58000000,58005000000,NA,NA,"AMD","1.4798105047086"
"48","WFC",2023-05-08 16:03:07,"Wells Fargo & Company",38.29,147141246976,3.46,11.092485,0.8907352,3833799936,"USD","2022-12-31",226057000000,NA,23646000000,137000000,14049000000,399728000000,443257000000,17977000000,984249000000,1881016000000,1383985000000,19613000000,NA,155235000000,130000000,1540172000000,1699141000000,9136000000,187649000000,-96234000000,-13381000000,160870000000,135545000000,25173000000,10632000000,NA,60319000000,NA,1986000000,"WFC","1.4551114993784"
"49","NFLX",2023-05-08 16:00:03,"Netflix, Inc.",0,147236421632,9.46,35.011627,6.7452087,444540992,"USD","2022-12-31",5147176000,911276000,988898000,NA,1826388000,9266473000,NA,3625379000,22970367000,48594768000,671513000,NA,5744811000,14353076000,3310814000,7930974000,27817367000,4637601000,17181296000,-1041496000,-217306000,20777401000,8044852000,NA,12732549000,261541000,NA,NA,NA,"NFLX","0.995034891963473"
"50","RTX",2023-05-08 16:00:01,"Raytheon Technologies Corporati",96.3,139597316096,3.74,25.545454,1.919052,1461139968,"USD","2022-12-31",6220000000,NA,20642000000,10617000000,4964000000,42443000000,NA,16999000000,6156000000,158864000000,9896000000,595000000,14984000000,30606000000,13256000000,39114000000,84650000000,37939000000,52269000000,-17576000000,-2046000000,72632000000,-18031000000,53840000000,36823000000,NA,NA,NA,1582000000,"RTX","0.975307117272992"
"51","HON",2023-05-08 16:00:03,"Honeywell International Inc.",0,131105079296,7.7,25.577923,7.7490554,665676992,"USD","2022-12-31",9627000000,483000000,7621000000,5538000000,1713000000,24982000000,945000000,6352000000,9277000000,62275000000,6329000000,1653000000,4698000000,14978000000,9113000000,19938000000,44949000000,958000000,45093000000,-37918000000,-3475000000,16697000000,-4022000000,17497000000,3222000000,421000000,8564000000,NA,629000000,"HON","1.03156627313189"
"52","UPS",2023-05-08 16:03:05,"United Parcel Service, Inc.",174.87,149781135360,12.35,14.120647,7.5019355,724780032,"USD","2022-12-31",5602000000,1993000000,12891000000,889000000,842000000,22217000000,305000000,38474000000,3109000000,71124000000,7512000000,2249000000,1427000000,17028000000,12617000000,18140000000,51321000000,9000000,21326000000,-1549000000,-1536000000,19786000000,12767000000,4223000000,2796000000,139000000,NA,NA,17000000,"UPS","0.835807581735523"
"53","INTC",2023-05-08 16:00:04,"Intel Corporation",0,128341671936,-0.7,NA,1.3088048,4171000064,"USD","2022-12-31",11144000000,17194000000,4324000000,13224000000,4521000000,50407000000,5912000000,81347000000,10828000000,182103000000,9595000000,4379000000,3624000000,37684000000,8742000000,32155000000,78817000000,31580000000,70405000000,-562000000,-562000000,101423000000,67814000000,27591000000,6018000000,3450000000,NA,NA,1863000000,"INTC","1.09665806007617"
"54","AMGN",2023-05-08 16:00:04,"Amgen Inc.",0,125363798016,14.71,15.949694,23.440903,534327008,"USD","2022-12-31",7629000000,1676000000,6392000000,4930000000,355000000,22186000000,3162000000,6006000000,2158000000,65121000000,1572000000,1591000000,2880000000,37354000000,7880000000,15687000000,61460000000,32514000000,-28622000000,-231000000,-231000000,3661000000,-27948000000,15529000000,16080000000,NA,NA,NA,NA,"AMGN","0.716089303814544"
"55","LOW",2023-05-08 16:03:24,"Lowe's Companies, Inc.",204.01,121686433792,10.17,20.063913,-8.603534,596355968,"USD","2023-02-03",1348000000,384000000,NA,18532000000,927000000,21442000000,NA,21085000000,567000000,43708000000,10524000000,499000000,4974000000,32487000000,1975000000,19511000000,57962000000,301000000,-14862000000,307000000,307000000,-14254000000,-14868000000,311000000,303000000,250000000,NA,NA,NA,"LOW","1.0438209978025"
"56","SBUX",2023-05-08 16:00:04,"Starbucks Corporation",0,122859683840,3.08,34.795456,-14.129202,1146400000,"USD","2022-10-02",2818400000,364500000,1272600000,2176600000,75100000,7018700000,590300000,14576100000,2353900000,27978400000,1441400000,1761000000,3255500000,13153900000,6856200000,9151800000,36677100000,1100000,-8449800000,-463200000,-463200000,-8706600000,-12146000000,3283500000,155900000,1799700000,205300000,NA,7900000,"SBUX","1.03668562449008"
"57","UNP",2023-05-08 16:00:01,"Union Pacific Corporation",200.57,121902415872,11.31,17.67816,9.791381,609694976,"USD","2022-12-31",973000000,46000000,1891000000,741000000,301000000,3952000000,2375000000,56981000000,1412000000,65449000000,784000000,1611000000,1059000000,31481000000,14818000000,5520000000,53286000000,2782000000,58887000000,-54586000000,-582000000,12163000000,11434000000,NA,729000000,NA,5080000000,NA,NA,"UNP","1.01271330060909"
"58","COP",2023-05-08 16:00:02,"ConocoPhillips",100.74,122095058944,12.56,8.03344,2.5724702,1210060032,"USD","2022-12-31",6458000000,2785000000,7088000000,1219000000,1795000000,18749000000,8083000000,65402000000,1595000000,93829000000,6163000000,133000000,5154000000,15190000000,16363000000,12847000000,45826000000,21000000,53029000000,-66189000000,-6000000000,48003000000,48003000000,NA,NA,NA,61142000000,NA,NA,"COP","1.15311783102581"
"59","T",2023-05-08 16:03:08,"AT&T Inc.",17.16,122462453760,-1.18,NA,1.2313889,7149000192,"USD","2022-12-31",3701000000,38000000,15685000000,3123000000,5375000000,33108000000,4627000000,149259000000,18518000000,402853000000,31101000000,6561000000,9400000000,132923000000,86584000000,56173000000,296396000000,7621000000,-19415000000,-14316000000,2766000000,97500000000,-99841000000,67895000000,129446000000,NA,123610000000,8119000000,8957000000,"T","0.727864219227605"
